created_at,text,username
2021-12-09 16:14:10+00:00,"Terima kasih, @nctsmtown_127, karena telah menghabiskan 3.822 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/CpSzouH1M0'",Uwuuu___yayayayaa🌹
2021-12-09 16:10:24+00:00,"Terima kasih, IU, karena telah menghabiskan 3.325 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/cclTsZMfEE'",warlok
2021-12-09 15:16:03+00:00,"Terima kasih, @bts_bighit, karena telah menghabiskan 1.404 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/uv1iVo9WLI'",Afelyn
2021-12-09 14:48:53+00:00,#SpotifyWrapped olivia sama lisa pendatang baru di list penyanyi di gua :) https://t.co/sI2Nb63mSv',rival
2021-12-09 14:40:04+00:00,Teh @yurayunita adalah artis pemersatu w dan masnya #SpotifyWrapped https://t.co/8vgFE3xT7o',vindia
2021-12-09 14:37:00+00:00,"Untuk podcast terfavorit saya di 2021, Rapot: terima kasih telah menemani saya di @Spotify sepanjang tahun! #SpotifyWrapped https://t.co/W1LQpNqNoZ'",can i get a
2021-12-09 14:31:01+00:00,"Terima kasih, @bts_bighit, karena telah menghabiskan 9.660 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/5YfbsY0QDY'",anya🦕
2021-12-09 14:26:48+00:00,"Wkwkw penyampaian stats nya tidak se-estetik #SpotifyWrapped, tp YouTube #2021recap cukup informatif. Semoga tahun depan lebih baik. \xf0\x9f\x98\x81'",Doni Putra Nusantara
2021-12-09 14:18:14+00:00,"tahun ini mix bgt, struggle berkah muncul berdampingan. bisa diliat sendiri \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 #SpotifyWrapped https://t.co/pSMrTiqQrS'",uras
2021-12-09 14:18:12+00:00,@SpotifyID @LISANATIONS_ Yuhuuu #MONEY lagu teratas aku juga hehehhh #SpotifyWrapped \n#MAMAVOTE #lisa',fitriaisyahsstm
2021-12-09 14:17:05+00:00,"Untuk podcast terfavorit saya di 2021, BIOGRAFI M. QURAISH SHIHAB: terima kasih telah menemani saya di @Spotify sepanjang tahun! #SpotifyWrapped https://t.co/2ZcvZxYvho'",Nidya
2021-12-09 13:59:23+00:00,Makasih ngabs Oli dkk @bmthofficial udah barengan gw 507 menit ini tahun di @Spotify. Terbaek lah. #SpotifyWrapped https://t.co/heYMGRRScG',Om Ipang
2021-12-09 13:55:04+00:00,"Untuk podcast terfavorit saya di 2021, Menjadi Manusia: terima kasih telah menemani saya di @Spotify sepanjang tahun! #SpotifyWrapped https://t.co/aCerEnl9jk'",pun10
2021-12-09 13:38:14+00:00,Ini Kilas Balik 2021 saya! Terima kasih atas semua cinta di tahun ini. #SpotifyWrapped #2021PodcasterWrapped https://t.co/5SXWU9yTp1',siAmbyarrr.
